total,filter,remove,rank,organization,country,country_iso,ratio,asn,region
22,0,0,202,Bangladesh Telegraph & Telephone Board,Bangladesh,BD,0,17494,APNIC
22,4,0,203,Viettel Group,Vietnam,VN,0.18,7552,APNIC
22,0,0,204,"PRIVATE JOINT-STOCK COMPANY ""FARLEP-INVEST""",Ukraine,UA,0,12883,RIPE NCC
22,0,0,205,VODAFONE ESPANA S.A.U.,Spain,ES,0,12430,RIPE NCC
22,0,0,208,Sunrise Communications AG,Switzerland,CH,0,6730,RIPE NCC
22,0,0,209,Serverius Holding B.V.,Netherlands,NL,0,50673,RIPE NCC
22,0,0,210,EQUINIX BRASIL,Brazil,BR,0,16397,LACNIC
22,0,0,211,Telecom Italia S.p.A.,Italy,IT,0,3269,RIPE NCC
22,0,0,212,British Telecommunications PLC,United Kingdom,GB,0,2856,RIPE NCC
22,0,0,213,Information Technology Company (ITC),Iran,IR,0,12880,RIPE NCC
22,0,0,214,"Frontier Communications of America, Inc.",United States,US,0,5650,ARIN
22,0,0,215,Flexential Colorado Corp.,United States,US,0,13649,ARIN
22,0,0,216,TELECITYGROUP INTERNATIONAL LIMITED,United Kingdom,GB,0,15830,RIPE NCC
22,0,0,217,SIA Tet,Latvia,LV,0,12578,RIPE NCC
22,0,0,218,Philippine Long Distance Telephone Co.,Philippines,PH,0,9299,APNIC
22,4,0,219,M247 Ltd,United Kingdom,GB,0.18,9009,RIPE NCC
22,22,0,220,ITS TELECOMUNICACOES LTDA,Brazil,BR,1,28186,LACNIC
22,0,0,221,"Telekom Slovenije, d.d.",Slovenia,SI,0,5603,RIPE NCC
22,0,0,222,Orange Espagne SA,Spain,ES,0,12479,RIPE NCC
22,0,0,223,VECTRA S.A.,Poland,PL,0,29314,RIPE NCC
22,0,0,225,PT Multidata Rancana Prima,Indonesia,ID,0,58552,APNIC
22,0,0,229,Rogers Communications Canada Inc.,Canada,CA,0,812,ARIN
22,0,0,231,Telehouse EAD,Bulgaria,BG,0,57344,RIPE NCC
22,0,0,232,Reliance Jio Infocomm Limited,India,IN,0,55836,APNIC
22,0,0,233,Vodafone GmbH,Germany,DE,0,3209,RIPE NCC
22,0,0,235,INFORBARRA TELECOM,Brazil,BR,0,263903,LACNIC
22,0,0,236,"Allstream Business US, LLC",United States,US,0,7385,ARIN
22,21,0,237,ARSAT - Empresa Argentina de Soluciones Satelitales S.A.,Argentina,AR,0.95,52361,LACNIC
22,0,0,238,ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP,Brazil,BR,0,28260,LACNIC
22,0,0,240,Vodafone Czech Republic a.s.,Czechia,CZ,0,16019,RIPE NCC
22,0,0,241,Pakistan Telecommuication company limited,Pakistan,PK,0,17557,APNIC
22,0,0,243,Reliance Communications Limited,India,IN,0,18101,APNIC
22,0,0,244,Jaguar Network SAS,France,FR,0,30781,RIPE NCC
